,Order,SubjectID,ServerTimestamp,AssignmentID,ProblemID,Attempt,CodeStateID,Score,Code,Between,N Way,2xN,Other,OtherReason
1,9462,f18374bf891c9af64c8570448824202d,02/20/19 11:06 PM,439,234,1,a858fbcb9cfc9ce9382d0ed2ba1d55371a02ed1e,1,"public boolean cigarParty(int cigars, boolean isWeekend)
{
    if(isWeekend)
        	return (cigars >= 40);
    return (cigars >= 40 && cigars <= 60);
}
",0,0,0,0,
2,22001,f18374bf891c9af64c8570448824202d,02/20/19 11:01 PM,439,13,1,fa0c4adf7c92dec60cf3a3986fecea954efa0b5c,1,"public int caughtSpeeding(int speed, boolean isBirthday)
{
    if(isBirthday)
        	speed -= 5;
    if(speed <= 60)
        	return 0;
    else if(speed <= 80)
        	return 1;
    else
        	return 2;
}
",0,0,0,0,
3,36715,f18374bf891c9af64c8570448824202d,02/20/19 11:18 PM,439,12,1,e072ff70879165f39c8cffd34ef8ef650f2359b6,1,"public boolean squirrelPlay(int temp, boolean isSummer)
{
    if(isSummer)
        	return (temp >= 60 && temp <= 100);
    	return (temp >= 60 && temp <= 90);
}
",0,0,0,0,
4,38968,f18374bf891c9af64c8570448824202d,02/20/19 11:03 PM,439,232,1,3012e4320d02371bfd6939f2d995390618c63c84,1,"public String alarmClock(int day, boolean vacation)
{
    if(vacation)
    {
        if(day == 0 || day == 6)
            	return ""off"";
        return ""10:00"";
    }
    else
    {
        if(day == 0 || day == 6)
            	return ""10:00"";
        return ""7:00"";
    }
}
",0,0,0,0,
5,59160,f18374bf891c9af64c8570448824202d,02/20/19 11:11 PM,439,233,1,e5455143df14702a2bfa6370cf68b28855687e1f,1,"public boolean love6(int a, int b)
{
    if(a == 6 || b == 6)
        	return true;
    return ((a + b) == 6 || Math.abs(a - b) == 6);
}
",0,0,0,0,
6,64621,f18374bf891c9af64c8570448824202d,02/20/19 11:09 PM,439,5,1,69a0849d80f3294a5f9d134bf8030d0e71ccffc7,1,"public boolean answerCell(boolean isMorning, boolean isMom, boolean isAsleep)
{
    if(isAsleep)
        	return false;
    if(isMom)
        	return true;
    return (!isMorning);
}
",0,0,0,0,
7,67900,f18374bf891c9af64c8570448824202d,02/20/19 11:05 PM,439,235,1,c629c4b7bf3d71e37d37a3d3c9d534e91769becf,1,"public int dateFashion(int you, int date)
{
    if(you <= 2 || date <= 2)
        	return 0;
    if(you >=8 || date >= 8)
        	return 2;
    return 1;
}
",0,0,0,0,
10,75955,f18374bf891c9af64c8570448824202d,02/20/19 11:08 PM,439,236,1,e0a2d62881c5d98aeb065f70ef297ebedc1c5846,1,"public int greenTicket(int a, int b, int c)
{
    if(a == b)
    {
        if(b == c)
            	return 20;
        return 10;
    }
    if(a == c || b == c)
        	return 10;
    return 0;
}
",0,0,0,0,
17,118895,f18374bf891c9af64c8570448824202d,02/20/19 11:12 PM,439,1,1,b9ed9662cef093534b17ebe7ad44a72ae15e20c7,1,"public int sortaSum(int a, int b)
{
    int sum = a + b;
    if(sum >= 10 && sum <= 19)
        	return 20;
    return sum;
}
",0,0,0,0,
20,133300,f18374bf891c9af64c8570448824202d,02/20/19 11:13 PM,439,3,1,2f94ea6836f19b94c16fb75a87485da25153ccae,1,"public boolean in1To10(int n, boolean outsideMode)
{
    if(outsideMode)
        	return (n <= 1 || n>= 10);
    return (n >= 1 && n <= 10);
}
",0,0,0,0,
